Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
SNV,Synovus Financial Corp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.030165,0.597091,45.67
SNX,SYNNEX Corp,Services,Business Services,United States of America,0.002227,0.039274,92.44
SO,Southern Co,Utilities,Electric Utilities,United States of America,0.044592,0.952626,58.37
SON,Sonoco Products Co,Consumer Goods,Packaging & Containers,United States of America,0.028861,0.832972,62.21
SONA,Southern National Bancorp of Virginia Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.02551,0.406905,15.73
SPFI,South Plains Financial Inc,,,United States of America,0.007484,0.13549,22.79
SPG,Simon Property Group Inc,Financial,REIT - Retail,United States of America,0.054491,1.30935,111.19
SPGI,S&P Global Inc,Services,Business Services,United States of America,0.008488,0.331097,334.49
SPKE,Spark Energy Inc,Utilities,Electric Utilities,United States of America,0.07484,0.827166,9.82
SPTN,SpartanNash Co,Services,Food Wholesale,United States of America,0.040612,0.45458,19.43
SQFT,"Presidio Property Trust, Inc.",,,United States of America,0.029155,0.116999,3.7
SRC,Spirit Realty Capital Inc,Financial,REIT - Diversified,United States of America,0.06043,10.140707,41.59
SRCE,1st Source Corp,Financial,Regional - Midwest Banks,United States of America,0.024613,0.365377,47.75
SRE,Sempra Energy,Utilities,Diversified Utilities,United States of America,0.043999,0.118374,119.14
SRLP,Sprague Resources LP,Basic Materials,Oil & Gas Refining & Marketing,United States of America,0.139498,1.50975,18.9
SSB,South State Corp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.023173,0.81451,83.9
SSD,Simpson Manufacturing Co Inc,Industrial Goods,Small Tools & Accessories,United States of America,0.009317,0.216043,100.45
SSNC,SS&C Technologies Holdings Inc,Technology,Business Software & Services,United States of America,0.008834,0.21769,65.89
SSP,E. W. Scripps Co,Services,Broadcasting - TV,United States of America,0.009403,0.061537,22.61
SSTK,Shutterstock Inc,Services,Business Services,United States of America,0.008546,0.340008,87.37
STAG,STAG Industrial Inc,Financial,REIT - Industrial,United States of America,0.045649,1.084567,32.13
STAY,Extended Stay America Inc,Services,Lodging,United States of America,0.037105,0.186877,16.66
STBA,S&T Bancorp Inc,Financial,Regional - Northeast Banks,United States of America,0.036458,2.088831,32.09
STC,Stewart Information Services Corp,Financial,Property & Casualty Insurance,United States of America,0.025078,0.260326,48.36
STL,Sterling Bancorp,Financial,Money Center Banks,United States of America,0.012681,0.280242,22.78
STLD,Steel Dynamics Inc,Basic Materials,Steel & Iron,United States of America,0.023143,0.366569,45.77
STND,Standard AVB Financial Corp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.026951,0.611069,32.82
STOR,Store Capital Corp,Financial,REIT - Diversified,United States of America,0.044223,1.661245,32.19
STRA,Strayer Education Inc,Services,Education & Training Services,United States of America,0.029747,0.64863,80.73
STT,State Street Corp,Financial,Asset Management,United States of America,0.026598,0.367355,79.38
STWD,Starwood Property Trust Inc,Financial,REIT - Diversified,United States of America,0.084544,1.547406,22.96
SUI,Sun Communities Inc,Financial,REIT - Residential,United States of America,0.022285,2.123668,143.25
SUN,Sunoco LP,Basic Materials,Oil & Gas Refining & Marketing,United States of America,0.104626,1.669811,31.37
SVBI,Severn Bancorp Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.014953,0.379068,10.81
SWCH,Switch Inc,,,United States of America,0.011367,1.000208,14.16
SWK,Stanley Black & Decker Inc,Industrial Goods,Machine Tools & Accessories,United States of America,0.015331,0.364947,185.27
SWM,Schweitzer-Mauduit International Inc,Consumer Goods,Paper & Paper Products,United States of America,0.038411,0.656325,47.14
SWX,Southwest Gas Holdings Inc,Utilities,Gas Utilities,United States of America,0.034985,0.525154,69.29
SXC,SunCoke Energy Inc,Basic Materials,Nonmetallic Mineral Mining,United States of America,0.039024,2.261364,6.58
SXT,Sensient Technologies Corp,Basic Materials,Specialty Chemicals,United States of America,0.021073,0.603415,77.09
SYBT,Stock Yards Bancorp Inc,Financial,Regional - Southeast Banks,United States of America,0.020951,0.415856,53.84
SYK,Stryker Corp,Healthcare,Medical Appliances & Equipment,United States of America,0.009987,0.539712,240.04
SYX,Systemax Inc,Technology,Technical & System Software,United States of America,0.100679,0.962109,35.44
TBNK,Territorial Bancorp Inc,Financial,Regional - Pacific Banks,United States of America,0.039673,0.720803,26.27
TCBK,Trico Bancshares,Financial,Regional - Pacific Banks,United States of America,0.024304,0.405823,47.47
TCF,TCF Financial Corp,Financial,Money Center Banks,United States of America,0.030159,0.976617,46.42
TCF,TCF Financial Corp,Financial,Money Center Banks,United States of America,0.030159,0.976617,46.42
TCFC,Community Financial Corp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.014854,0.197484,34.43
TCP,TC PipeLines LP,Basic Materials,Oil & Gas Pipelines,United States of America,0.086064,0.10299,30.21
TDS,Telephone and Data Systems Inc,Technology,Wireless Communications,United States of America,0.036422,0.297398,19.96
TER,Teradyne Inc,Technology,Semiconductor Equipment & Materials,United States of America,0.00351,0.084783,113.91
TFC,Truist Financial Corp,Financial,Regional - Southeast Banks,United States of America,0.03137,0.606634,58.69
TFX,Teleflex Inc,Healthcare,Medical Instruments & Supplies,United States of America,0.003479,0.188537,401.86
TG,Tredegar Corp,Consumer Goods,Rubber & Plastics,United States of America,0.394495,1.80435,17.14
TGNA,Tegna Inc,Services,Broadcasting - TV,United States of America,0.015512,0.15839,18.91
THFF,First Financial Corp,Financial,Regional - Midwest Banks,United States of America,0.024055,0.272027,45.19
THG,Hanover Insurance Group Inc,Financial,Property & Casualty Insurance,United States of America,0.022063,0.277391,122.32
TKR,Timken Co,Industrial Goods,Machine Tools & Accessories,United States of America,0.014485,0.355335,80.76
TMO,Thermo Fisher Scientific Inc,Healthcare,Medical Laboratories & Research,United States of America,0.001993,0.052863,446.4
TMP,Tompkins Financial Corp,Financial,Regional - Northeast Banks,United States of America,0.025744,0.403373,86.21
TNC,Tennant Co,Industrial Goods,Diversified Machinery,United States of America,0.011746,0.486647,78.33
TOL,Toll Brothers Inc,Industrial Goods,Residential Construction,United States of America,0.008497,0.130548,53.92
TPB,Turning Point Brands Inc,Consumer Goods,"Tobacco Products, Other",United States of America,0.004209,0.115069,48.16
